Global CO2 (ppm),,,,
Year,126,245,370,585
2284,397.14,625.91,1492.75,2175.91
2285,397.06,625.61,1492.12,2175.01
2286,396.99,625.31,1491.50,2174.12
2287,396.91,625.02,1490.87,2173.23
2288,396.84,624.73,1490.24,2172.34
2289,396.76,624.44,1489.62,2171.46
2290,396.69,624.15,1488.99,2170.57
2291,396.62,623.86,1488.36,2169.68
2292,396.54,623.57,1487.74,2168.79
2293,396.47,623.28,1487.11,2167.91
2294,396.40,623.00,1486.49,2167.03
2295,396.32,622.72,1485.86,2166.14
2296,396.25,622.43,1485.24,2165.27
2297,396.18,622.15,1484.61,2164.40
2298,396.11,621.87,1483.99,2163.52
2299,396.03,621.59,1483.37,2162.63
2300,395.96,621.32,1482.75,2161.74
2301,395.89,621.04,1482.12,2160.87
2302,395.82,620.77,1481.50,2160.00
2303,395.75,620.49,1480.88,2159.14
2304,395.68,620.22,1480.26,2158.27
2305,395.60,619.95,1479.64,2157.40
2306,395.53,619.68,1479.02,2156.53
2307,395.46,619.41,1478.40,2155.66
2308,395.39,619.14,1477.79,2154.79
2309,395.32,618.88,1477.17,2153.92
2310,395.25,618.61,1476.55,2153.06
2311,395.18,618.34,1475.94,2152.22
2312,395.11,618.08,1475.32,2151.37
2313,395.04,617.82,1474.71,2150.52
2314,394.97,617.56,1474.09,2149.66
2315,394.90,617.29,1473.48,2148.81
2316,394.83,617.03,1472.87,2147.95
2317,394.76,616.78,1472.25,2147.09
2318,394.70,616.52,1471.64,2146.24
2319,394.63,616.26,1471.03,2145.39
2320,394.56,616.00,1470.42,2144.54
2321,394.49,615.75,1469.81,2143.70
2322,394.42,615.49,1469.20,2142.86
2323,394.35,615.24,1468.59,2142.02
2324,394.28,614.99,1467.98,2141.17
2325,394.22,614.74,1467.38,2140.31
2326,394.15,614.48,1466.77,2139.46
2327,394.08,614.23,1466.16,2138.62
2328,394.01,613.99,1465.56,2137.80
2329,393.95,613.74,1464.95,2136.96
2330,393.88,613.49,1464.35,2136.14
2331,393.81,613.24,1463.74,2135.32
2332,393.74,613.00,1463.14,2134.47
2333,393.68,612.75,1462.54,2133.62
2334,393.61,612.51,1461.93,2132.80
2335,393.54,612.26,1461.33,2131.99
2336,393.48,612.02,1460.73,2131.14
2337,393.41,611.78,1460.13,2130.29
2338,393.34,611.54,1459.53,2129.47
2339,393.28,611.30,1458.93,2128.65
2340,393.21,611.06,1458.34,2127.83
2341,393.14,610.82,1457.74,2127.00
2342,393.08,610.58,1457.14,2126.18
2343,393.01,610.34,1456.54,2125.38
